zh,en
中国,China
湖北,Hubei
武汉,Wuhan
黄冈,Huanggang
孝感,Xiaogan
荆门,Jingmen
恩施州,Enshi
荆州,Jingzhou
仙桃,Xiantao
十堰,Shiyan
随州,Suizhou
天门,day
宜昌,Yichang
鄂州,Ezhou
咸宁,Xianning
广东,Guangdong
广州,Guangzhou
深圳,Shenzhen
珠海,Zhuhai
佛山,Foshan
惠州,Huizhou
阳江,Yangjiang
韶关,Shaoguan
湛江,Zhanjiang
中山,Zhongshan
肇庆,Zhaoqing
清远,Qingyuan
东莞,Dongguan
汕头,Shantou
浙江,Zhejiang
台州,Taizhou
杭州,Hangzhou
温州,Wenzhou
宁波,Ningbo
绍兴,Shaoxing
嘉兴,Jiaxing
舟山,Zhoushan
金华,Jinhua
衢州,Quzhou
重庆,Chongqing
万州区,Wanzhoudistrict
长寿区,Changshou District
开州区,Kaizhou District
巫山县,WushanCounty
永川区,yongchuan
九龙坡区,JiulongpoDistrict
忠县,ZhongCounty
两江新区,LiangjiangNewArea
石柱县,Shizhu
垫江县,dianjiangCounty
大渡口区,dadukou
渝北区,Yubeidistrict
云阳县,Yunyang
巫溪县,Wuxi County
合川区,hechuan
璧山区,Bishanarea
涪陵区,Fulingdistrict
奉节县,FengjieCounty
秀山县,XiushanSongtao
梁平区,Liangping District
城口县,Chengkou County
丰都县,FengduCounty
湖南,Hunan
长沙,Changsha
怀化,Huaihua
岳阳,Yueyang
娄底,Loudi
永州,Yongzhou
益阳,Yiyang
衡阳,Hengyang
常德,Changde
湘潭,Xiangtan
邵阳,Shaoyang
郴州,Chenzhou
株洲,Zhuzhou
安徽,Anhui
合肥,Hefei
阜阳,Fuyang
亳州,Bozhou
安庆,Anqing
马鞍山,mAOnShan
铜陵,Tongling
六安,Luan
滁州,Chuzhou
池州,Chizhou
蚌埠,Bengbu
芜湖,Wuhu
北京,Beijing
外地来京,Foreign to Beijing
海淀,Haidian
朝阳,Chaoyang
西城,Xicheng
昌平,Changping
大兴,Daxing
丰台,Fengtai
通州,Tongzhou
